2022-05-11 05:28:14,601 | root | INFO | GUI started, opening serial port COM8
2022-05-11 05:28:17,255 | root | INFO | Sent Msg: {"id":"tx","data":"QTog"}
2022-05-11 05:28:17,401 | root | INFO | Got Msg: {"id":"Radio","msg":"Time to TX","level":32,"tick":1538685,"stack":277}
2022-05-11 05:28:17,403 | root | INFO | Got Msg: {"id":"Radio","msg":"Wait quiet","level":32,"tick":1538685,"stack":277}
2022-05-11 05:28:17,661 | root | INFO | Got Msg: {"id":"Radio","msg":"Heard quiet","level":32,"tick":1538945,"stack":277}
2022-05-11 05:28:17,663 | root | INFO | Got Msg: {"id":"Radio","msg":"TX","level":16,"tick":1538946,"rssi":0,"snr":0,"len":3,"data":"QTog","stack":277}
2022-05-11 05:28:17,663 | root | INFO | Decoded Text: A: 
2022-05-11 05:28:18,604 | root | INFO | Got Msg: {"id":"Radio","msg":"TXDone","level":32,"tick":1539881,"stack":277}
2022-05-11 05:28:19,656 | root | INFO | Got Msg: {"id":"Radio","msg":"stats","level":8,"tick":1540932,"rx_success":0,"rx_failure":82,"tx_success":3,"tx_failure":0,"freq":433.551,"bw":125,"sf":12,"cr":8,"pwr":22,"stack":277}
2022-05-11 05:28:22,171 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":1543441,"stack":277}
2022-05-11 05:28:23,233 | root | INFO | Got Msg: {"id":"Radio","msg":"Missed Header","level":4,"tick":1544489,"stack":277}
2022-05-11 05:28:23,235 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":1544489,"stack":277}
2022-05-11 05:28:38,564 | root | INFO | GUI started, opening serial port COM8
2022-05-11 05:28:40,445 | root | INFO | Sent Msg: {"id":"tx","data":"QTog"}
2022-05-11 05:28:40,776 | root | INFO | Got Msg: {"id":"Radio","msg":"Time to TX","level":32,"tick":1561991,"stack":277}
2022-05-11 05:28:40,778 | root | INFO | Got Msg: {"id":"Radio","msg":"Wait quiet","level":32,"tick":1561991,"stack":277}
2022-05-11 05:28:41,074 | root | INFO | Got Msg: {"id":"Radio","msg":"Heard quiet","level":32,"tick":1562284,"stack":277}
2022-05-11 05:28:41,076 | root | INFO | Got Msg: {"id":"Radio","msg":"TX","level":16,"tick":1562285,"rssi":0,"snr":0,"len":3,"data":"QTog","stack":277}
2022-05-11 05:28:41,076 | root | INFO | Decoded Text: A: 
2022-05-11 05:28:42,011 | root | INFO | Got Msg: {"id":"Radio","msg":"TXDone","level":32,"tick":1563220,"stack":277}
2022-05-11 05:28:43,078 | root | INFO | Got Msg: {"id":"Radio","msg":"stats","level":8,"tick":1564271,"rx_success":0,"rx_failure":83,"tx_success":4,"tx_failure":0,"freq":433.551,"bw":125,"sf":12,"cr":8,"pwr":22,"stack":277}
2022-05-11 05:31:06,449 | root | INFO | GUI started, opening serial port COM8
2022-05-11 05:31:09,553 | root | INFO | Sent Msg: {"id":"tx","data":"QTog"}
2022-05-11 05:31:09,771 | root | INFO | Got Msg: {"id":"Radio","msg":"Time to TX","level":32,"tick":1710501,"stack":277}
2022-05-11 05:31:09,772 | root | INFO | Got Msg: {"id":"Radio","msg":"Wait quiet","level":32,"tick":1710501,"stack":277}
2022-05-11 05:31:10,032 | root | INFO | Got Msg: {"id":"Radio","msg":"Wait quiet","level":32,"tick":1710761,"stack":277}
2022-05-11 05:31:10,315 | root | INFO | Got Msg: {"id":"Radio","msg":"Heard quiet","level":32,"tick":1711053,"stack":277}
2022-05-11 05:31:10,317 | root | INFO | Got Msg: {"id":"Radio","msg":"TX","level":16,"tick":1711055,"rssi":0,"snr":0,"len":3,"data":"QTog","stack":277}
